Stadtteil,Gesamt,Maennlich,Weiblich,Deutsche,Auslaender,>20,20-<25,25-<65
Altstadt,155,81,74,144,11,1,14,140
Vorstadt,417,225,192,375,42,1,60,356
Exerzierplatz,2296,1162,1134,2197,99,26,268,2002
Damperhof,1122,544,578,1068,54,12,122,988
Brunswik,2280,1051,1229,2164,116,18,234,2028
Düsternbrook,598,289,309,534,64,2,33,563
Blücherplatz,3915,1808,2107,3791,124,33,245,3637
Wik,5879,2907,2972,5604,275,120,498,5261
Ravensberg,4142,1978,2164,3940,202,54,380,3708
Schreventeich,4005,2001,2004,3874,131,71,510,3424
Südfriedhof,5410,2656,2754,5180,230,98,718,4594
Gaarden-Ost,3915,2352,1563,3147,768,118,521,3276
Gaarden-Süd/Kronsburg,3229,1685,1544,3066,163,105,300,2824
Hassee,4058,2058,2000,3868,190,107,439,3512
Hasseldieksdamm,767,391,376,753,14,22,52,693
Ellerbek,1709,939,770,1566,143,62,145,1502
Wellingdorf,2541,1314,1227,2375,166,87,312,2142
Holtenau,1595,813,782,1554,41,36,96,1463
Pries,2249,1183,1066,2151,98,93,168,1988
Friedrichsort,685,378,307,636,49,22,70,593
Neumühlen/Dietrichsdorf,3462,1884,1578,3251,211,145,361,2956
Elmschenhagen,5918,3108,2810,5716,202,277,464,5177
Suchsdorf,2470,1267,1203,2416,54,73,164,2233
Schilksee,1251,657,594,1212,39,41,60,1150
Mettenhof,4587,2532,2055,4224,363,222,476,3889
Russee,2435,1233,1202,2374,61,62,144,2229
Meimersdorf,855,439,416,829,26,28,55,772
Moorsee,532,263,269,513,19,23,31,478
Wellsee,1871,958,913,1793,78,74,133,1664
Rönne,149,73,76,148,1,6,12,131
nichtZuzuordnen,1056,538,518,992,64,25,45,986
KielGesamt,75553,38767,36786,71455,4098,2064,7130,66359