Stadtteil,EinwohnerGesamt,EinwohnerGesamtWeiblich,MighintergrundGesamt,MighintergrundWeiblich,AuslaenderGesamt,AuslaenderWeiblich,EingebürgertGesamt,EingebürgertWeiblich,BinationalGesamt,BinationalWeiblich,AuslandGeborenGesamt,AuslandgeborenWeiblich,NichtDeutschElternGesamt,NichtDeutschElternWeiblich
Altstadt,588,313,113,62,68,40,18,9,15,9,10,4,2,-
Vorstadt,1.082,513,239,119,134,64,43,16,25,14,22,16,15,9
Exerzierplatz,6.182,3.202,848,380,436,182,159,67,109,63,98,46,46,22
Damperhof,3.141,1.658,448,228,198,99,103,49,56,32,60,38,31,10
Brunswik,6.179,3.397,823,428,358,181,165,77,143,82,97,56,60,32
Düsternbrook,2.967,1.517,526,267,363,177,36,19,55,31,50,25,22,15
Blücherplatz,10.763,5.861,1.038,523,397,204,216,103,153,80,159,81,113,55
Wik,17.896,9.373,2.548,1.298,1.108,567,575,286,357,187,268,144,240,114
Ravensberg,11.522,6.144,1.594,843,815,413,254,133,228,124,206,122,91,51
Schreventeich,11.346,5.914,1.331,662,514,258,299,136,248,128,168,90,102,50
Südfriedhof,14.170,7.427,2.047,1.024,889,459,459,219,289,140,217,107,193,99
Gaarden-Ost,16.245,7.537,7.219,3.366,3.952,1.886,1.764,789,634,301,284,121,585,269
Gaarden-Süd/Kronsburg,10.456,5.255,1.766,846,881,439,377,153,186,83,144,76,178,95
Hassee,11.991,5.980,1.914,915,812,403,444,202,292,137,182,85,184,88
Hasseldieksdamm,2.781,1.458,308,166,94,57,76,36,51,23,57,27,30,23
Ellerbek,5.805,2.891,1.449,653,641,285,379,169,184,93,101,47,144,59
Wellingdorf,7.990,4.144,1.559,764,655,337,439,206,198,91,111,63,156,67
Holtenau,5.185,2.660,405,206,165,85,74,35,65,36,61,27,40,23
Pries,7.278,3.691,929,452,418,189,200,105,132,62,93,53,86,43
Friedrichsort,2.134,1.099,389,183,193,83,76,33,58,34,24,15,38,18
Neumühlen/Dietrichsdorf,11.966,6.080,2.305,1.131,956,472,583,293,316,143,193,101,257,122
Elmschenhagen,17.135,8.857,2.271,1.146,766,391,668,310,349,189,160,89,328,167
Suchsdorf,9.318,4.832,865,437,242,134,230,111,136,65,139,70,118,57
Schilksee,5.237,2.753,603,328,154,83,171,92,109,58,109,59,60,36
Mettenhof,19.011,9.809,7.804,3.886,2.408,1.275,2.653,1.220,1.419,714,546,285,778,392
Russee,7.291,3.733,809,424,197,117,254,137,153,77,92,44,113,49
Meimersdorf,2.698,1.345,436,224,85,46,173,97,59,24,57,32,62,25
Moorsee,1.754,869,318,147,102,45,72,37,52,26,49,18,43,21
Wellsee,5.101,2.558,940,477,283,154,245,111,160,82,84,47,168,83
Rönne,433,223,13,8,5,3,2,2,5,3,-,-,1,-
KielGesamt,235.645,121.093,43.857,21.593,18.289,9.128,11.207,5.252,6.236,3.131,3.841,1.988,4.284,2.094